UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
8057,L55236,L,300.1,311.5,1499,58.4,69,0,0,0,0,0,0
1214,M16073,M,296.8,307.8,1551,53.9,116,0,0,0,0,0,0
9454,H38867,H,298.2,309.0,1360,71.8,111,0,0,0,0,0,0
1865,L49044,L,297.9,307.7,1546,67.6,80,0,0,0,0,0,0
8554,M23413,M,293.1,302.0,1661,53.2,86,0,0,0,0,0,0
879,M15738,M,295.7,306.3,1685,49.9,88,0,0,0,0,0,0
2486,L49665,L,298.8,308.6,1593,50.5,179,0,0,0,0,0,0
2445,L49624,L,299.2,308.6,1267,83.2,80,1,0,0,1,0,0
9222,M24081,M,297.8,309.0,1675,45.0,114,0,0,0,0,0,0
6299,L53478,L,301.1,310.5,1428,69.1,105,0,0,0,0,0,0
1396,L48575,L,299.1,310.4,1452,54.7,155,0,0,0,0,0,0
4067,M18926,M,301.9,310.7,1472,62.0,77,0,0,0,0,0,0
1941,L49120,L,298.1,307.9,1578,50.6,59,0,0,0,0,0,0
9144,L56323,L,297.6,308.5,1452,57.6,120,0,0,0,0,0,0
6819,M21678,M,301.0,310.7,1657,44.9,152,0,0,0,0,0,0
9934,L57113,L,298.3,308.3,1597,47.4,73,0,0,0,0,0,0
9767,H39180,H,298.6,309.6,1449,57.5,20,0,0,0,0,0,0
8018,L55197,L,301.0,312.0,1518,69.3,204,0,0,0,0,0,0
3698,L50877,L,302.2,311.2,1928,38.1,6,0,0,0,0,0,0
8562,L55741,L,298.2,308.9,1332,59.4,104,0,0,0,0,0,0
8947,M23806,M,297.3,308.2,1846,49.5,43,0,0,0,0,0,0
7382,L54561,L,299.7,310.3,1495,58.1,105,0,0,0,0,0,0
7254,L54433,L,300.3,310.5,1522,54.1,221,0,0,0,0,0,0
4872,L52051,L,303.7,312.4,1513,55.1,139,0,0,0,0,0,0
9643,L56822,L,299.4,310.5,1372,61.3,177,0,0,0,0,0,0
7026,H36439,H,300.6,310.6,1448,59.7,59,0,0,0,0,0,0
5004,L52183,L,303.7,312.8,1437,66.3,46,0,0,0,0,0,0
9317,H38730,H,298.5,309.4,1417,56.2,159,0,0,0,0,0,0
244,L47423,L,298.0,308.2,1442,74.1,212,0,0,0,0,0,0
987,H30400,H,296.4,307.1,1638,47.5,150,0,0,0,0,0,0
9989,L57168,L,298.9,308.6,1771,39.1,217,0,0,0,0,0,0
1626,L48805,L,297.9,307.8,1365,61.9,77,0,0,0,0,0,0
3405,L50584,L,301.3,310.4,1695,45.9,112,0,0,0,0,0,0
983,L48162,L,296.2,306.9,1516,69.1,146,0,0,0,0,0,0
3458,M18317,M,301.5,310.4,2639,27.0,25,1,0,0,1,0,0
4336,L51515,L,301.7,309.9,1607,52.7,97,0,0,0,0,0,0
9788,H39201,H,298.6,309.5,1420,80.4,90,0,0,0,0,0,0
1331,L48510,L,298.9,310.2,1696,45.2,218,0,0,0,0,0,0
2574,L49753,L,299.5,309.2,1499,56.5,179,0,0,0,0,0,0
3930,M18789,M,302.7,311.6,1501,53.8,175,0,0,0,0,0,0
2848,L50027,L,300.4,309.3,1525,54.6,206,0,0,0,0,0,0
9044,L56223,L,297.4,308.4,1343,55.0,65,0,0,0,0,0,0
1230,L48409,L,297.1,308.4,1304,68.5,157,0,0,0,0,0,0
2565,L49744,L,299.3,309.1,1493,53.0,155,0,0,0,0,0,0
44,H29457,H,298.8,309.2,1372,63.5,124,0,0,0,0,0,0
6694,M21553,M,301.8,311.0,1756,41.7,37,0,0,0,0,0,0
1116,M15975,M,291.4,300.3,2077,34.1,84,0,0,0,0,0,0
5036,M19895,M,299.0,306.2,1500,55.6,128,0,0,0,0,0,0
9730,L56909,L,298.7,309.8,1695,44.0,149,0,0,0,0,0,0
7700,M22559,M,300.7,311.5,1441,55.6,37,0,0,0,0,0,0
4772,M19631,M,303.6,311.9,1617,51.0,99,0,0,0,0,0,0
535,L47714,L,297.5,309.3,1623,48.4,78,0,0,0,0,0,0
3793,L50972,L,302.3,310.9,1459,50.0,36,0,0,0,0,0,0
4721,M19580,M,303.4,311.7,1353,59.1,196,1,0,1,0,0,0
8348,L55527,L,293.7,302.6,1665,46.1,182,0,0,0,0,0,0
4633,M19492,M,302.9,311.2,1330,68.7,204,1,0,1,0,0,0
5561,L52740,L,297.4,304.9,1541,52.9,196,0,0,0,0,0,0
7439,L54618,L,299.9,311.3,1647,42.5,30,0,0,0,0,0,0
1167,M16026,M,297.1,308.1,1506,52.7,214,0,0,0,0,0,0
8603,L55782,L,292.4,301.1,1729,46.7,208,0,0,0,0,0,0
3825,L51004,L,302.3,310.9,1620,45.3,116,0,0,0,0,0,0
4335,L51514,L,301.6,309.8,1472,57.5,95,0,0,0,0,0,0
1100,M15959,M,296.8,307.4,1472,73.9,38,0,0,0,0,0,0
9664,L56843,L,299.1,310.1,1435,63.8,233,1,0,0,0,1,0
7650,H37063,H,300.4,311.5,1662,59.0,145,0,0,0,0,0,0
3242,H32655,H,300.9,309.5,1469,58.4,130,0,0,0,0,0,0
9699,L56878,L,298.8,309.8,1663,53.2,69,0,0,0,0,0,0
1881,L49060,L,298.1,307.7,1705,44.1,113,0,0,0,0,0,0
8923,L56102,L,297.1,308.2,1399,57.6,198,0,0,0,0,0,0
3684,M18543,M,302.0,311.2,1558,54.1,183,0,0,0,0,0,0
8985,L56164,L,297.1,307.8,1406,90.4,141,0,0,0,0,0,0
2442,L49621,L,299.1,308.5,1676,46.0,73,0,0,0,0,0,0
4353,L51532,L,301.9,309.7,1424,57.8,144,0,0,0,0,0,0
2331,M17190,M,299.3,308.7,1390,64.3,219,0,0,0,0,0,0
8998,M23857,M,297.1,307.9,1609,63.9,168,0,0,0,0,0,0
978,L48157,L,296.0,306.7,1917,36.0,131,0,0,0,0,0,0
2719,L49898,L,299.5,309.1,1357,62.3,110,0,0,0,0,0,0
5040,H34453,H,304.1,313.3,1689,47.5,138,0,0,0,0,0,0
4805,L51984,L,303.7,312.6,1621,63.8,184,0,0,0,0,0,0
9326,M24185,M,298.6,309.3,1510,55.8,181,0,0,0,0,0,0
4729,L51908,L,303.4,311.7,1406,62.1,217,0,0,0,0,0,0
7196,M22055,M,300.1,310.1,1443,64.3,65,0,0,0,0,0,0
2038,H31451,H,299.0,308.7,1940,34.9,102,0,0,0,0,0,0
7680,L54859,L,300.7,311.7,1635,47.4,217,0,0,0,0,0,0
9082,L56261,L,292.3,301.0,1527,50.1,169,0,0,0,0,0,0
4983,L52162,L,303.7,313.0,1811,39.3,213,0,0,0,0,0,0
4866,M19725,M,298.5,305.3,1624,49.8,125,0,0,0,0,0,0
6595,L53774,L,301.6,310.6,2103,34.7,16,0,0,0,0,0,0
4461,L51640,L,302.6,310.5,1596,47.8,197,0,0,0,0,0,0
8200,L55379,L,299.2,310.7,1737,42.0,229,1,1,0,0,0,0
8848,L56027,L,297.5,308.9,1443,58.5,4,0,0,0,0,0,0
8091,L55270,L,300.1,311.4,1910,38.0,157,0,0,0,0,0,0
7173,M22032,M,300.1,310.1,1402,61.6,14,0,0,0,0,0,0
1318,L48497,L,299.0,310.3,1428,61.3,179,0,0,0,0,0,0
9799,L56978,L,298.5,309.3,1471,59.7,123,0,0,0,0,0,0
1171,M16030,M,297.1,308.1,1823,49.3,221,0,0,0,0,0,0
7079,L54258,L,300.7,310.5,1357,67.6,203,0,0,0,0,0,0
3731,M18590,M,302.3,311.2,1405,72.7,90,0,0,0,0,0,0
